Model,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average Accuracy
Random Forest,0.9962157855801513,0.9966425766801343,0.9960735218801571,0.9968132931201275,0.9969839237444871,0.9965458202010116
Decision Tree,0.9923462129403061,0.9931428896602743,0.9925169293802993,0.9932567006202697,0.9924882629107982,0.9927501991023895
KNN,0.9912365560803506,0.991350367040346,0.990326068400387,0.9909520286803619,0.991833831270451,0.9911397702943793
Logistic Regression,0.9845786149206168,0.9846924258806123,0.9853183861605873,0.9825869231206965,0.9854033290653009,0.9845159358295629
