Fold,Classifier,Accuracy,Precision,Recall,Specificity,F1,GM,FPR,AUC,MCC,Kappa,Balanced Accuracy,Training Time (s)
1,Logistic Regression,0.9985204575200591,0.9871668311944719,1.0,0.9983304437166891,0.9935419771485345,0.9991648731399083,0.0016695562833108585,0.9999259937070571,0.9927329452621058,0.9927065409221354,0.9991652218583446,19.521973133087158
2,Logistic Regression,0.998975701360041,0.9910802775024777,1.0,0.9988441533423232,0.9955201592832255,0.9994219095768929,0.0011558466576767482,0.9999048995055545,0.9949546425220785,0.9949419148688552,0.9994220766711617,17.635213136672974
3,Logistic Regression,0.9988049849200478,0.9896091044037605,1.0,0.9986515122327104,0.9947774185525988,0.9993255286605613,0.0013484877672895396,0.9999656135619341,0.9941200272764219,0.9941027405374109,0.9993257561163552,17.433178186416626
4,Logistic Regression,0.998975701360041,0.9910802775024777,1.0,0.9988441533423232,0.9955201592832255,0.9994219095768929,0.0011558466576767482,0.9998739163937584,0.9949546425220785,0.9949419148688552,0.9994220766711617,12.89647889137268
5,Logistic Regression,0.9990895123200364,0.9920634920634921,1.0,0.9989725807487317,0.9960159362549801,0.9994861583577492,0.0010274192512682205,0.9999597701149425,0.9955120425857568,0.9955019718067596,0.9994862903743659,19.354881048202515
6,Logistic Regression,0.998577363000057,0.9876543209876543,1.0,0.9983946574198934,0.9937888198757764,0.999197006310514,0.0016053425801065948,0.9998639632697618,0.9930099684553758,0.992985538785903,0.9991973287099467,12.672261476516724
7,Logistic Regression,0.9987480794400501,0.9891196834817013,1.0,0.9985872985295062,0.9945300845350572,0.9992933996227065,0.0014127014704938034,0.9999747640146407,0.9938422171805503,0.993823258397594,0.9992936492647531,18.636485815048218
8,Logistic Regression,0.9988618904000455,0.9900990099009901,1.0,0.9987157259359147,0.9950248756218906,0.9993576566654777,0.001284274064085276,0.9998988634174533,0.9943980347032559,0.9943823439432538,0.9993578629679574,18.887640714645386
9,Logistic Regression,0.9990326068400387,0.991571641051066,1.0,0.9989083670455275,0.9957679860592482,0.9994540344835913,0.0010916329544724845,0.9999554999036794,0.9952332434012512,0.9952218825467041,0.9994541835227637,18.620001077651978
10,Logistic Regression,0.9990894605053494,0.9925521350546177,0.9995,0.9990367325969689,0.9960139511709019,0.9992683394517563,0.0009632674030310815,0.9998974441304906,0.9955077017824431,0.9954999845705708,0.9992683662984845,24.107820987701416
1,Decision Tree,0.9987480794400501,0.9900891972249752,0.999,0.9987157259359147,0.9945246391239423,0.9988578528549389,0.001284274064085276,0.9991261638733706,0.9938306092251938,0.993817895950823,0.9988578629679574,12.183491230010986
2,Decision Tree,0.998975701360041,0.992544731610338,0.9985,0.999036794451936,0.9955134596211366,0.9987683611630167,0.0009632055480639568,0.9990023116933153,0.9949409907802753,0.9949353193816284,0.998768397225968,5.969969034194946
3,Decision Tree,0.9992033232800319,0.9935387673956262,0.9995,0.9991652218583446,0.9965104685942173,0.9993325969102657,0.0008347781416554292,0.9995389456109934,0.9960664817777002,0.9960608039634887,0.9993326109291722,5.3275628089904785
4,Decision Tree,0.9994309452000227,0.9955179282868526,0.9995,0.9994220766711617,0.9975049900199601,0.9994610375761659,0.0005779233288383741,0.9995749213382136,0.9971863711630559,0.997183840458929,0.9994610383355809,6.334875822067261
5,Decision Tree,0.9992602287600296,0.9945246391239423,0.999,0.9992936492647531,0.9967572960838115,0.9991468138444362,0.0007063507352469017,0.9993695980222179,0.9963429875666061,0.9963397887437621,0.9991468246323765,5.575191497802734
6,Decision Tree,0.9986911739600524,0.9905707196029777,0.998,0.998779939639119,0.9942714819427149,0.9983898936587053,0.001220060360881012,0.9985677775637322,0.9935415177657305,0.9935326801832993,0.9983899698195595,5.324006080627441
7,Decision Tree,0.998975701360041,0.995995995995996,0.995,0.9994862903743659,0.9954977488744372,0.9972406223788189,0.0005137096256341103,0.9974192191613691,0.9949200213150952,0.9949198628169914,0.9972431451871829,6.36165189743042
8,Decision Tree,0.9992033232800319,0.9950149551345963,0.998,0.9993578629679574,0.9965052421367948,0.9986787007050973,0.000642137032042638,0.9989311308033134,0.9960570838906927,0.9960556607445624,0.9986789314839787,5.332472324371338
9,Decision Tree,0.9992033232800319,0.9945219123505976,0.9985,0.9992936492647531,0.9965069860279441,0.9988967458105247,0.0007063507352469017,0.9991003660181081,0.99605990448783,0.9960573766425006,0.9988968246323766,5.517126083374023
10,Decision Tree,0.9990325517869337,0.992548435171386,0.999,0.9990367325969689,0.9957637677547969,0.9990183661296583,0.0009632674030310815,0.9992811456460313,0.9952243498736415,0.9952176947535394,0.9990183662984844,6.395484209060669
1,Random Forest,0.9952768451601889,0.9605958673714561,0.9995,0.9947344763372503,0.9796618475863759,0.997114391180411,0.005265523662749631,0.9998315353496435,0.9772376128067644,0.9769912211926874,0.9971172381686252,49.05746531486511
2,Random Forest,0.9956182780401752,0.9633734939759037,0.9995,0.9951197585564759,0.9811042944785276,0.9973074744917927,0.004880241443524048,0.9998298336865087,0.9788391771278872,0.9786270488971129,0.997309879278238,41.66984701156616
3,Random Forest,0.9959597109201616,0.9661672305461576,0.9995,0.9955050407757016,0.982550995330548,0.9975005204285929,0.004494959224298465,0.9998915109484363,0.980447391405584,0.9802670904753024,0.9975025203878508,42.79996299743652
4,Random Forest,0.9965287657201388,0.9713174526008751,0.999,0.9962113915109484,0.984964259304905,0.9976047213798848,0.0037886084890515637,0.9999427213767418,0.9831266000107864,0.9830025883657987,0.9976056957554742,42.131630659103394
5,Random Forest,0.9962442383201502,0.9689621726479146,0.999,0.9958903229949271,0.983751846381093,0.9974439496392427,0.004109677005072882,0.999871444166185,0.9817753342844887,0.9816291268129076,0.9974451614974635,42.52968239784241
6,Random Forest,0.9945939794002162,0.954653937947494,1.0,0.993899698195595,0.9768009768009768,0.9969451831447881,0.00610030180440506,0.9997931034482759,0.9740791861071925,0.9737433576326171,0.9969498490977975,49.78926682472229
7,Random Forest,0.9959028054401639,0.9661508704061895,0.999,0.9955050407757016,0.9823008849557522,0.9972509893376521,0.004494959224298465,0.9998173441212355,0.980160001693071,0.9799848656087189,0.9972525203878508,41.213804960250854
8,Random Forest,0.9957889944801684,0.9656673114119922,0.9985,0.9954408270724973,0.9818092428711898,0.9969692401633505,0.004559172927502729,0.9998723431580299,0.979603926377599,0.9794288896534055,0.9969704135362487,42.352173805236816
9,Random Forest,0.9956182780401752,0.9638205499276411,0.999,0.9951839722596802,0.9810950159587528,0.9970901605609297,0.004816027740319784,0.9999061195659154,0.9788190134390011,0.9786178806892467,0.9970919861298402,42.71090078353882
10,Random Forest,0.9964147507398133,0.9703739679456047,0.999,0.9960827125610069,0.9844789356984479,0.9975402898371803,0.003917287438993064,0.9999187965579245,0.9825854008943676,0.9824527188271354,0.9975413562805034,45.37315106391907
1,HistGradientBoosting,0.9984066465600637,0.9861932938856016,1.0,0.9982020163102806,0.9930486593843099,,,,,,0.9991010081551404,129.22814559936523
2,HistGradientBoosting,0.9987480794400501,0.9891196834817013,1.0,0.9985872985295062,0.9945300845350572,,,,,,0.9992936492647531,108.97635626792908
3,HistGradientBoosting,0.9987480794400501,0.9891196834817013,1.0,0.9985872985295062,0.9945300845350572,,,,,,0.9992936492647531,103.24359822273254
4,HistGradientBoosting,0.9989187958800433,0.9905894006934126,1.0,0.998779939639119,0.9952724558347847,,,,,,0.9993899698195595,105.70611000061035
5,HistGradientBoosting,0.998975701360041,0.9910802775024777,1.0,0.9988441533423232,0.9955201592832255,,,,,,0.9994220766711617,102.2383782863617
6,HistGradientBoosting,0.9984635520400614,0.986679822397632,1.0,0.9982662300134849,0.9932952570151478,,,,,,0.9991331150067424,101.97805261611938
7,HistGradientBoosting,0.998577363000057,0.9876543209876543,1.0,0.9983946574198934,0.9937888198757764,,,,,,0.9991973287099467,105.13343954086304
8,HistGradientBoosting,0.9986911739600524,0.9886307464162135,1.0,0.9985230848263019,0.9942828734775043,,,,,,0.999261542413151,111.12047147750854
9,HistGradientBoosting,0.9987480794400501,0.9891196834817013,1.0,0.9985872985295062,0.9945300845350572,,,,,,0.9992936492647531,106.59379029273987
10,HistGradientBoosting,0.9991463692237651,0.9925558312655087,1.0,0.9990367325969689,0.9962640099626401,,,,,,0.9995183662984845,104.0241551399231
1,XGBoost,0.9986911739600524,0.9886307464162135,1.0,0.9985230848263019,0.9942828734775043,0.9992612695518134,0.001476915173698067,0.9999078051756246,0.9935646041730991,0.9935438974449293,0.999261542413151,11.006454944610596
2,XGBoost,0.9988618904000455,0.9900990099009901,1.0,0.9987157259359147,0.9950248756218906,0.9993576566654777,0.001284274064085276,0.9999231201438388,0.9943980347032559,0.9943823439432538,0.9993578629679574,10.653245449066162
3,XGBoost,0.9990326068400387,0.991571641051066,1.0,0.9989083670455275,0.9957679860592482,0.9994540344835913,0.0010916329544724845,0.9999353368008733,0.9952332434012512,0.9952218825467041,0.9994541835227637,9.014487504959106
4,XGBoost,0.9991464178000341,0.9925558312655087,1.0,0.999036794451936,0.9962640099626401,0.9995182811994666,0.0009632055480639568,0.9999487253579914,0.9957910403202423,0.9957821827282387,0.999518397225968,10.325940608978271
5,XGBoost,0.9992033232800319,0.9930486593843099,1.0,0.9991010081551404,0.9965122072745392,0.9995504030088429,0.0008989918448596931,0.9999355615488346,0.9960702368497788,0.996062515390427,0.9995505040775702,11.336412906646729
6,XGBoost,0.9986342684800547,0.9881422924901185,1.0,0.9984588711230977,0.9940357852882704,0.9992291384477825,0.001541128876902331,0.9998695659153664,0.9932871880119433,0.9932646576006114,0.9992294355615489,10.597655057907104
7,XGBoost,0.998975701360041,0.9910802775024777,1.0,0.9988441533423232,0.9955201592832255,0.9994219095768929,0.0011558466576767482,0.9999356739228151,0.9949546425220785,0.9949419148688552,0.9994220766711617,8.935027837753296
8,XGBoost,0.9990326068400387,0.9920595533498759,0.9995,0.9989725807487317,0.9957658779576588,0.9992362555764064,0.0010274192512682205,0.999914210492519,0.9952286596816144,0.9952198070920039,0.9992362903743659,10.455936908721924
9,XGBoost,0.9992033232800319,0.9930486593843099,1.0,0.9991010081551404,0.9965122072745392,0.9995504030088429,0.0008989918448596931,0.9999130225390098,0.9960702368497788,0.996062515390427,0.9995505040775702,10.823554754257202
10,XGBoost,0.9990894605053494,0.9920634920634921,1.0,0.9989725147701002,0.9960159362549801,0.9994861253514729,0.0010274852298998202,0.9999187002311841,0.9955120097107186,0.9955019387841821,0.99948625738505,11.09301233291626
1,LightGBM,0.9990326068400387,0.9920595533498759,0.9995,0.9989725807487317,0.9957658779576588,0.9992362555764064,0.0010274192512682205,0.9999851666345597,0.9952286596816144,0.9952198070920039,0.9992362903743659,15.66402816772461
2,LightGBM,0.9989187958800433,0.9920516641828118,0.9985,0.9989725807487317,0.9952653874906554,0.9987362624224719,0.0010274192512682205,0.9999790021190522,0.9946617610743752,0.9946551098139158,0.998736290374366,14.719649076461792
3,LightGBM,0.999374039720025,0.9945300845350572,1.0,0.9992936492647531,0.9972575417601596,0.9996467622439204,0.0007063507352469017,0.9999931933474604,0.996909021665779,0.9969042446151388,0.9996468246323765,15.68086314201355
4,LightGBM,0.9993171342400273,0.9940357852882704,1.0,0.9992294355615489,0.9970089730807578,0.9996146435309703,0.0007705644384511655,0.9999835612919797,0.9966292272764126,0.996623546254419,0.9996147177807744,15.703493356704712
5,LightGBM,0.9994309452000227,0.996011964107677,0.999,0.9994862903743659,0.9975037443834248,0.999243115605002,0.0005137096256341103,0.99998677197714,0.9971840395738462,0.9971826148175446,0.9992431451871829,17.186762809753418
6,LightGBM,0.9990895123200364,0.9920634920634921,1.0,0.9989725807487317,0.9960159362549801,0.9994861583577492,0.0010274192512682205,0.9999660951647081,0.9955120425857568,0.9955019718067596,0.9994862903743659,14.914424657821655
7,LightGBM,0.9994878506800204,0.9960139511709019,0.9995,0.9994862903743659,0.9977539306214125,0.9994931451636768,0.0005137096256341103,0.9999771078148078,0.9974668439525566,0.9974649049944067,0.9994931451871829,15.635656595230103
8,LightGBM,0.9991464178000341,0.9935355544505221,0.999,0.9991652218583446,0.9962602842183994,0.9990826075137562,0.0008347781416554292,0.9999815064534772,0.9957832870405552,0.9957785153842802,0.9990826109291723,15.700431823730469
9,LightGBM,0.9994878506800204,0.9955201592832255,1.0,0.9994220766711617,0.9977550511349463,0.9997109965740908,0.0005779233288383741,0.999996532460027,0.9974692100304885,0.9974660075918353,0.9997110383355808,15.745642185211182
10,LightGBM,0.9991463692237651,0.9935355544505221,0.999,0.9991651682507064,0.9962602842183994,0.9990825807121531,0.0008348317492936039,0.9999752761366555,0.995783256161324,0.9957784844352314,0.9990825841253532,16.825326919555664
